transaction_id,transaction_date,store_id,product_id,customer_id,quantity,unit_price,total_amount,payment_method
T000122,2025-07-01,S001,P045,C0189,3,1526.0,4578.0,Cash
T000956,2025-07-01,S005,P021,C0176,1,735.0,735.0,Card
T001082,2025-07-01,S009,P032,C0075,2,798.0,1596.0,Card
T000899,2025-07-01,S009,P008,C0194,1,7538.0,7538.0,UPI
T004102,2025-07-01,S006,P041,C0187,3,2912.0,8736.0,Wallet
T000128,2025-07-01,S004,P015,C0164,5,1463.0,7315.0,UPI
T000636,2025-07-01,S010,P038,C0153,4,563.0,2252.0,Wallet
T000589,2025-07-01,S002,P019,C0086,1,1613.0,1613.0,UPI
T003723,2025-07-01,S003,P011,C0035,3,827.0,2481.0,Card
T003331,2025-07-01,S006,P001,C0108,3,8801.0,26403.0,UPI
T000049,2025-07-01,S010,P027,C0145,3,713.0,2139.0,UPI
T004942,2025-07-01,S008,P045,C0148,2,1526.0,3052.0,UPI
T002314,2025-07-01,S005,P001,C0106,1,8801.0,8801.0,UPI
T004400,2025-07-01,S001,P042,C0063,5,2856.0,14280.0,UPI
T001429,2025-07-02,S002,P042,C0164,2,2856.0,5712.0,Card
T003267,2025-07-02,S007,P020,C0003,3,1341.0,4023.0,Card
T003238,2025-07-02,S001,P043,C0041,5,3092.0,15460.0,Card
T001831,2025-07-02,S009,P011,C0181,4,827.0,3308.0,UPI
T001857,2025-07-02,S004,P030,C0160,2,329.0,658.0,Cash
T004869,2025-07-02,S006,P022,C0102,5,250.0,1250.0,Card
T001286,2025-07-02,S007,P027,C0103,4,713.0,2852.0,Card
T001268,2025-07-02,S010,P004,C0036,1,2746.0,2746.0,Card
T002751,2025-07-02,S001,P008,C0153,1,7538.0,7538.0,Card
T004697,2025-07-02,S002,P007,C0041,1,9089.0,9089.0,UPI
T001874,2025-07-02,S002,P030,C0068,2,329.0,658.0,Card
T003810,2025-07-02,S007,P047,C0128,2,4143.0,8286.0,Card
T000190,2025-07-02,S003,P036,C0030,1,1511.0,1511.0,Card
T004716,2025-07-02,S008,P031,C0125,2,2539.0,5078.0,Wallet
T003937,2025-07-02,S005,P030,C0010,5,329.0,1645.0,UPI
T000262,2025-07-02,S009,P047,C0078,2,4143.0,8286.0,UPI
T004998,2025-07-02,S001,P038,C0047,2,563.0,1126.0,UPI
T000379,2025-07-02,S004,P019,C0155,1,1613.0,1613.0,Cash
T000553,2025-07-02,S004,P015,C0019,4,1463.0,5852.0,UPI
T002695,2025-07-03,S001,P049,C0044,1,2283.0,2283.0,Wallet
T003001,2025-07-03,S006,P036,C0046,2,1511.0,3022.0,Wallet
T004484,2025-07-03,S002,P025,C0185,2,227.0,454.0,Card
T001041,2025-07-03,S005,P038,C0178,1,563.0,563.0,UPI
T003329,2025-07-03,S006,P014,C0116,1,3156.0,3156.0,Card
T000842,2025-07-03,S006,P015,C0172,2,1463.0,2926.0,UPI
T004795,2025-07-03,S004,P030,C0145,4,329.0,1316.0,Wallet
T002039,2025-07-03,S008,P045,C0061,2,1526.0,3052.0,UPI
T003525,2025-07-03,S006,P013,C0093,4,1725.0,6900.0,UPI
T004359,2025-07-03,S009,P015,C0037,1,1463.0,1463.0,Card
T000447,2025-07-04,S006,P025,C0074,4,227.0,908.0,Card
T004243,2025-07-04,S003,P004,C0036,3,2746.0,8238.0,UPI
T000403,2025-07-04,S002,P007,C0048,1,9089.0,9089.0,Card
T003408,2025-07-04,S004,P018,C0065,1,2484.0,2484.0,Wallet
T002771,2025-07-04,S010,P029,C0041,1,817.0,817.0,Card
T001083,2025-07-04,S003,P029,C0075,5,817.0,4085.0,UPI
T000172,2025-07-04,S010,P012,C0059,2,2724.0,5448.0,Cash
T003428,2025-07-04,S009,P014,C0011,3,3156.0,9468.0,UPI
T002365,2025-07-04,S001,P047,C0004,1,4143.0,4143.0,Cash
T002439,2025-07-04,S010,P043,C0164,2,3092.0,6184.0,UPI
T003033,2025-07-05,S009,P021,C0112,2,735.0,1470.0,UPI
T004520,2025-07-05,S005,P008,C0070,2,7538.0,15076.0,Card
T002544,2025-07-05,S003,P049,C0089,5,2283.0,11415.0,Cash
T004556,2025-07-05,S002,P033,C0082,1,2395.0,2395.0,Wallet
T003718,2025-07-05,S006,P045,C0171,1,1526.0,1526.0,Wallet
T004791,2025-07-05,S006,P001,C0142,1,8801.0,8801.0,Cash
T004078,2025-07-05,S001,P015,C0080,4,1463.0,5852.0,UPI
T000322,2025-07-05,S002,P018,C0156,2,2484.0,4968.0,UPI
T002462,2025-07-05,S004,P019,C0179,3,1613.0,4839.0,UPI
T001743,2025-07-06,S004,P010,C0008,1,1769.0,1769.0,UPI
T002686,2025-07-06,S001,P039,C0065,1,2600.0,2600.0,UPI
T004921,2025-07-06,S008,P009,C0062,1,14294.0,14294.0,UPI
T004782,2025-07-06,S006,P008,C0133,2,7538.0,15076.0,Wallet
T003571,2025-07-06,S006,P018,C0124,1,2484.0,2484.0,UPI
T003782,2025-07-06,S006,P015,C0136,3,1463.0,4389.0,Card
T002744,2025-07-06,S002,P035,C0029,1,1777.0,1777.0,Card
T001776,2025-07-06,S006,P035,C0147,2,1777.0,3554.0,UPI
T002870,2025-07-06,S001,P017,C0127,4,2677.0,10708.0,Cash
T002538,2025-07-07,S003,P028,C0105,3,764.0,2292.0,Cash
T002145,2025-07-07,S006,P008,C0145,1,7538.0,7538.0,Wallet
T001615,2025-07-07,S010,P007,C0199,1,9089.0,9089.0,UPI
T000006,2025-07-07,S006,P025,C0163,1,227.0,227.0,UPI
T003167,2025-07-07,S010,P042,C0079,1,2856.0,2856.0,UPI
T000234,2025-07-07,S007,P038,C0037,2,563.0,1126.0,UPI
T004385,2025-07-07,S006,P042,C0148,5,2856.0,14280.0,Card
T003708,2025-07-07,S002,P027,C0095,1,713.0,713.0,Cash
T003145,2025-07-07,S004,P002,C0175,1,15628.0,15628.0,UPI
T002757,2025-07-07,S002,P020,C0193,5,1341.0,6705.0,Wallet
T002498,2025-07-07,S007,P012,C0144,1,2724.0,2724.0,UPI
T000264,2025-07-07,S004,P047,C0118,1,4143.0,4143.0,Cash
T000292,2025-07-07,S003,P043,C0130,1,3092.0,3092.0,Card
T004261,2025-07-08,S001,P019,C0112,4,1613.0,6452.0,UPI
T000811,2025-07-08,S006,P045,C0177,3,1526.0,4578.0,Card
T000169,2025-07-08,S010,P043,C0009,4,3092.0,12368.0,Card
T004386,2025-07-08,S002,P002,C0005,1,15628.0,15628.0,UPI
T004051,2025-07-08,S002,P033,C0043,4,2395.0,9580.0,UPI
T003203,2025-07-08,S008,P033,C0172,1,2395.0,2395.0,Cash
T002444,2025-07-08,S007,P038,C0085,2,563.0,1126.0,Card
T000730,2025-07-08,S004,P017,C0123,2,2677.0,5354.0,UPI
T002428,2025-07-08,S003,P033,C0160,1,2395.0,2395.0,Card
T003675,2025-07-08,S006,P040,C0032,2,1803.0,3606.0,Cash
T002702,2025-07-08,S006,P039,C0039,1,2600.0,2600.0,UPI
T004537,2025-07-08,S003,P037,C0044,5,924.0,4620.0,Card
T001949,2025-07-09,S008,P036,C0155,1,1511.0,1511.0,UPI
T000384,2025-07-09,S006,P002,C0030,1,15628.0,15628.0,UPI
T002082,2025-07-09,S010,P010,C0019,2,1769.0,3538.0,Wallet
T002716,2025-07-09,S003,P044,C0107,3,346.0,1038.0,Cash
T004414,2025-07-09,S007,P005,C0065,1,3573.0,3573.0,Card
T002587,2025-07-09,S008,P004,C0010,4,2746.0,10984.0,UPI
T000778,2025-07-09,S007,P042,C0084,1,2856.0,2856.0,UPI
T000901,2025-07-09,S003,P011,C0189,1,827.0,827.0,Card
T000423,2025-07-09,S002,P020,C0005,4,1341.0,5364.0,UPI
T004859,2025-07-09,S010,P015,C0133,1,1463.0,1463.0,Cash
T003340,2025-07-09,S001,P039,C0047,1,2600.0,2600.0,Card
T002445,2025-07-09,S005,P026,C0068,3,765.0,2295.0,UPI
T001352,2025-07-09,S002,P011,C0032,2,827.0,1654.0,UPI
T001759,2025-07-09,S005,P022,C0187,3,250.0,750.0,Cash
T004747,2025-07-10,S001,P031,C0007,4,2539.0,10156.0,UPI
T003553,2025-07-10,S002,P022,C0032,2,250.0,500.0,Card
T001109,2025-07-10,S010,P046,C0109,2,2159.0,4318.0,UPI
T002126,2025-07-10,S001,P024,C0199,1,280.0,280.0,Card
